en,fr,it,nl,ja,da,name,identifier,type,country,is_org_file,is_publisher
European Commission - Service for Foreign Policy Instruments,,,,,,European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,15,"Europe, regional",true,true
ActionAid International,,,,,,ActionAid International,NL-KVK-27264198,21,Netherlands,,true
Mulanje Mission Hospital,,,,,,Mulanje Mission Hospital,MW-MRA-20125995,22,Malawi,true,true
Mainline,,,,,,Mainline,NL-KVK-41209946,60,Netherlands,true,true
Friends of Kipkelion,,,,,,Friends of Kipkelion,GB-CHC-1142476,23,Kenya,true,true
UN Women,,,,,,UN Women,XM-DAC-411124,40,,,true
WWF-UK,,,,,,WWF-UK,GB-CHC-1081247,21,United Kingdom,true,true
Bill and Melinda Gates Organization,,,,,,Bill and Melinda Gates Organization,XM-DAC-DAC-1601,60,,true,true
WASTE advisers on urban environment and development,,,,,,WASTE advisers on urban environment and development,NL-KVK-41172933,60,Netherlands,,true
Centre For Citizens With Disabilities,,,,,,Centre For Citizens With Disabilities,NG-CAC-IT-23286,22,Nigeria,,true
Disability and Development Partners,,,,,,Disability and Development Partners,GB-CHC-1046001,21,United Kingdom,,true
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,,,,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",41304,40,France,,true
Bioclimate Research and Development,,,,,,Bioclimate Research and Development,GB-SC-044007,21,United Kingdom,,true
